cidade,area,quartos,banheiros,garagem,valor(R$)
São Paulo,570,4,5,4,3364400
São Paulo,54,2,1,1,501600
Campinas,150,4,2,0,544400
São Paulo,32,1,1,1,922800
São Paulo,127,3,2,2,1065200
Porto Alegre,58,2,1,1,201200
São Paulo,230,3,2,2,993600
São Paulo,60,1,1,0,363400
Porto Alegre,60,1,1,0,257600
São Paulo,245,3,5,4,3136000
São Paulo,180,3,2,2,2157900
Porto Alegre,42,1,1,1,242600
Porto Alegre,41,1,1,0,298000
Belo Horizonte,800,4,4,3,1793200
Belo Horizonte,700,7,6,5,3281700
São Paulo,140,3,3,2,467000
Porto Alegre,222,4,3,2,1311800
Porto Alegre,122,3,3,2,657200
Rio de Janeiro,62,1,1,0,766800
São Paulo,107,2,2,0,797800
Belo Horizonte,59,2,2,0,408200
Rio de Janeiro,40,1,1,0,377800
Campinas,72,3,1,1,321600
Belo Horizonte,400,4,6,4,1717600
São Paulo,84,2,3,2,1557400
Belo Horizonte,80,3,2,2,538200
São Paulo,90,2,2,0,355400
Belo Horizonte,413,4,4,0,2202200
São Paulo,120,4,4,1,927000
Belo Horizonte,66,2,1,1,247800
Rio de Janeiro,140,3,2,1,815200
Belo Horizonte,190,4,2,2,960800
São Paulo,325,5,5,4,1302200
Rio de Janeiro,60,2,2,0,835000
São Paulo,310,4,4,3,1556200
São Paulo,100,2,2,2,1665000
Campinas,120,2,1,0,407800
Belo Horizonte,52,2,1,1,184000
São Paulo,52,2,1,1,339800
Campinas,115,3,3,1,598000
Rio de Janeiro,47,1,1,1,280600
São Paulo,66,2,1,1,466600
São Paulo,100,2,1,2,335000
Porto Alegre,55,2,1,1,342800
São Paulo,200,3,4,3,3172400
Campinas,51,2,1,1,250200
São Paulo,140,3,3,2,1206600
Belo Horizonte,200,4,4,3,1207200
Porto Alegre,30,2,2,1,318800
Belo Horizonte,87,3,2,2,874400
Porto Alegre,100,3,2,1,682400
São Paulo,48,1,1,1,484600
Rio de Janeiro,40,1,1,1,413200
Porto Alegre,78,2,2,1,627800
Porto Alegre,41,1,2,1,661600
São Paulo,200,3,4,3,1932400
Belo Horizonte,234,3,3,3,1735000
Rio de Janeiro,136,3,1,0,1007800
São Paulo,250,3,4,4,1278800
Rio de Janeiro,125,3,2,1,890600
São Paulo,86,2,1,0,307600
Porto Alegre,62,2,1,0,330600
São Paulo,120,3,2,2,653600
Campinas,61,1,1,0,469200
Porto Alegre,160,3,2,1,781400
Campinas,64,1,1,0,368800
Rio de Janeiro,70,3,2,1,702800
Campinas,258,2,2,1,297800
Belo Horizonte,163,4,3,2,553400
São Paulo,360,4,5,4,1327800
Rio de Janeiro,90,2,2,1,1167200
São Paulo,50,1,1,0,223400
Rio de Janeiro,264,4,4,1,2271800
Rio de Janeiro,70,2,1,0,733600
São Paulo,126,2,2,1,850600
São Paulo,35,1,1,1,637000
Porto Alegre,98,2,2,1,367600
Rio de Janeiro,47,2,1,1,371800
São Paulo,70,3,2,1,578600
Porto Alegre,85,3,3,0,633400
Rio de Janeiro,90,2,2,1,1060400
São Paulo,250,3,4,3,2559900
Rio de Janeiro,160,4,2,0,1409200
São Paulo,25,1,1,0,250200
São Paulo,97,2,3,2,870600
São Paulo,33,1,1,0,920200
Rio de Janeiro,66,2,1,1,327200
São Paulo,78,3,2,2,514000
São Paulo,248,3,4,3,1803800
São Paulo,163,3,2,1,1047000
São Paulo,332,5,4,3,3911800
São Paulo,30,1,1,1,534800
Rio de Janeiro,172,3,3,3,1573000
Belo Horizonte,100,3,2,0,340200
São Paulo,260,4,4,2,1092600
São Paulo,432,5,7,6,4281600
São Paulo,46,2,1,1,364000
São Paulo,999,5,7,4,3157500
Belo Horizonte,274,6,6,2,1963800
Rio de Janeiro,76,2,1,0,337600
Belo Horizonte,210,4,4,2,1207800
São Paulo,400,4,5,4,3321700
São Paulo,110,3,2,1,553200
São Paulo,20,1,1,0,511000
São Paulo,160,3,2,2,760600
Rio de Janeiro,95,3,2,2,1501000
São Paulo,38,1,1,0,443000
São Paulo,220,4,3,3,1748400
Belo Horizonte,396,4,5,6,2082400
São Paulo,360,4,7,5,2089600
Rio de Janeiro,25,1,1,0,518800
São Paulo,120,3,2,8,686400
São Paulo,556,6,7,4,1739400
Belo Horizonte,100,3,1,1,419000
São Paulo,40,1,1,0,161800
Campinas,55,2,1,1,188800
Rio de Janeiro,60,2,1,0,516600
São Paulo,70,3,1,2,852600
São Paulo,52,2,1,1,379400
Rio de Janeiro,110,3,2,1,692200
São Paulo,53,2,1,1,483200
São Paulo,188,1,3,2,1966400
Porto Alegre,121,3,2,1,585600
São Paulo,80,1,1,1,280800
Belo Horizonte,160,4,2,2,748200
São Paulo,285,4,5,4,44418800
São Paulo,70,2,1,0,274200
Campinas,53,2,2,1,484400
Rio de Janeiro,320,3,6,3,1894800
Rio de Janeiro,96,2,2,2,1870200
São Paulo,35,1,1,1,511400
Campinas,375,4,5,0,2435600
São Paulo,60,2,1,0,394200
Belo Horizonte,100,7,2,1,574800
Rio de Janeiro,82,2,1,0,1017000
São Paulo,57,1,1,0,1278800
São Paulo,485,5,6,6,4273900
São Paulo,61,1,2,1,497200
Rio de Janeiro,28,1,1,0,293800
São Paulo,130,3,2,1,1842600
Porto Alegre,119,3,1,0,555000
São Paulo,123,3,1,1,1239400
Campinas,96,2,1,1,509200
Rio de Janeiro,120,3,2,2,1554200
Rio de Janeiro,89,3,1,1,643200
São Paulo,190,3,3,2,2560300
Belo Horizonte,402,4,4,4,1621200
Rio de Janeiro,40,1,1,0,315000
São Paulo,210,4,3,3,1210200
São Paulo,77,2,2,1,817000
Belo Horizonte,65,3,1,1,245200
São Paulo,160,3,4,3,657400
Rio de Janeiro,80,2,3,1,796400
Porto Alegre,110,3,2,0,514200
Porto Alegre,132,3,2,2,913200
Belo Horizonte,90,3,2,2,904400
Porto Alegre,50,2,1,1,332600
São Paulo,55,3,1,1,508800
São Paulo,40,1,1,0,853400
Rio de Janeiro,38,2,2,1,978400
São Paulo,50,2,1,1,334800
São Paulo,136,3,3,1,1883200
Rio de Janeiro,140,3,2,2,870800
Rio de Janeiro,150,4,2,2,2570000
Belo Horizonte,65,2,2,1,351000
São Paulo,41,3,2,1,1316600
São Paulo,180,3,3,1,1631200
Porto Alegre,425,4,4,0,3203700
Porto Alegre,70,2,1,1,468000
São Paulo,460,6,6,4,1341400
Rio de Janeiro,70,2,2,1,1942600
São Paulo,25,1,1,0,541000
São Paulo,274,4,5,6,2386300
São Paulo,42,1,1,2,803600
Porto Alegre,64,2,1,1,325800
Rio de Janeiro,31,1,1,0,367000
São Paulo,74,2,1,0,695200
São Paulo,110,2,3,3,702800
São Paulo,20,1,1,0,511000
Belo Horizonte,91,2,3,1,691200
Porto Alegre,85,2,3,1,703800
São Paulo,42,1,1,1,787000
Porto Alegre,359,3,4,2,1939000
Porto Alegre,89,2,1,0,309600
São Paulo,50,1,1,0,152400
São Paulo,43,1,1,0,387600
São Paulo,40,1,1,1,1173600
Campinas,42,1,1,1,463600
Rio de Janeiro,143,3,2,1,583800
Porto Alegre,140,3,1,1,1135200
São Paulo,60,1,1,1,204200
Rio de Janeiro,121,1,1,0,1837600
Porto Alegre,148,3,2,2,1283200
Rio de Janeiro,130,4,3,0,2183900
Rio de Janeiro,35,1,1,0,19121800
Rio de Janeiro,85,3,2,1,1109800
São Paulo,40,1,1,0,187800
Rio de Janeiro,53,2,1,1,324000
São Paulo,80,3,2,2,693200
São Paulo,77,3,3,2,546000
São Paulo,103,3,2,2,1791000
Porto Alegre,78,2,2,0,427800
São Paulo,158,3,4,2,857600
São Paulo,300,4,4,3,3383600
Rio de Janeiro,65,2,1,1,339600
São Paulo,58,2,2,1,520400
São Paulo,250,3,4,0,1979600
São Paulo,440,4,4,4,3632400
Porto Alegre,39,1,1,1,556600
Porto Alegre,45,2,2,0,264800
Belo Horizonte,200,4,3,3,2011600
Porto Alegre,40,1,1,0,291000
Belo Horizonte,75,2,1,1,262400
Campinas,85,2,2,1,416200
Rio de Janeiro,57,2,1,1,297200
São Paulo,60,3,1,0,529800
Campinas,46,2,1,1,251800
Belo Horizonte,57,2,2,1,357000
São Paulo,102,3,2,2,1150800
São Paulo,61,2,2,1,600200
Rio de Janeiro,29,1,1,0,491200
São Paulo,280,3,3,2,1744200
São Paulo,210,3,3,4,2216300
São Paulo,130,3,3,3,841400
Porto Alegre,45,1,1,0,464400
Belo Horizonte,45,1,1,1,741000
Rio de Janeiro,40,1,1,0,505200
São Paulo,175,1,1,2,358400
São Paulo,750,4,5,8,3912400
São Paulo,60,2,3,2,425600
São Paulo,86,2,1,1,1021800
Porto Alegre,75,2,2,2,576800
Porto Alegre,281,4,3,4,1096000
Porto Alegre,70,2,2,1,545000
Rio de Janeiro,280,3,3,2,3256400
São Paulo,30,1,1,0,374800
Campinas,100,2,2,1,405200
São Paulo,271,3,2,2,1103800
São Paulo,123,3,3,2,1061000
São Paulo,59,2,2,0,894600
São Paulo,130,2,3,3,371600
Porto Alegre,58,1,1,1,303600
São Paulo,42,1,1,1,596600
São Paulo,168,3,2,4,894000
São Paulo,430,4,7,6,1682200
Rio de Janeiro,90,3,2,1,388600
Rio de Janeiro,36,1,1,0,495200
Rio de Janeiro,45,1,1,1,796200
Belo Horizonte,73,3,1,1,449400
São Paulo,38,1,1,0,204600
São Paulo,95,3,2,1,636000
Campinas,60,1,1,1,484800
Belo Horizonte,60,2,1,1,458600
São Paulo,44,1,1,1,529000
Porto Alegre,39,1,1,1,225200
Campinas,30,1,1,0,238600
São Paulo,250,3,3,2,843000
São Paulo,170,3,3,3,752400
São Paulo,65,2,1,0,399000
São Paulo,320,3,3,4,1245400
São Paulo,60,2,1,3,484400
Porto Alegre,100,3,1,0,441400
São Paulo,100,2,2,2,1007200
São Paulo,45,2,1,0,202800
São Paulo,270,5,7,2,825400
Rio de Janeiro,90,3,2,1,1079200
Campinas,51,2,1,2,477400
São Paulo,72,2,2,1,362600
Rio de Janeiro,45,1,1,1,425200
Porto Alegre,60,2,1,0,260200
São Paulo,213,3,3,2,2051800
São Paulo,33,1,1,0,314400
Campinas,74,3,1,1,236400
São Paulo,120,3,1,1,530200
Rio de Janeiro,45,1,1,0,455600
São Paulo,59,2,2,1,865200
Rio de Janeiro,35,1,1,0,1045000
São Paulo,253,4,5,3,1250400
Campinas,78,3,2,1,466600
Belo Horizonte,200,4,3,3,1525200
São Paulo,128,3,3,2,1410800
Belo Horizonte,200,5,2,5,840400
São Paulo,60,2,2,1,348800
São Paulo,244,3,4,2,3260100
São Paulo,120,2,1,1,665200
Campinas,145,4,3,2,1573000
São Paulo,120,3,2,1,1267000
Campinas,34,1,1,0,231800
São Paulo,90,2,1,2,625200
Campinas,76,2,1,0,221800
São Paulo,69,3,2,1,540400
São Paulo,150,3,2,0,537600
São Paulo,101,2,2,1,460800
São Paulo,225,3,3,2,2833700
São Paulo,220,4,4,4,1431200
Porto Alegre,79,2,1,0,475000
São Paulo,25,1,1,0,248800
São Paulo,277,3,5,4,2497700
São Paulo,282,4,4,3,2912100
São Paulo,200,4,5,3,1873400
Porto Alegre,45,1,1,2,628600
São Paulo,280,4,4,3,1807400
São Paulo,155,4,3,2,1010800
São Paulo,44,1,1,1,468400
Belo Horizonte,312,4,5,4,2012400
Rio de Janeiro,90,2,1,0,311600
São Paulo,64,2,1,1,538000
São Paulo,150,2,2,3,2551700
São Paulo,65,2,1,0,277400
Porto Alegre,47,1,1,1,526600
Rio de Janeiro,40,1,1,0,528000
São Paulo,50,1,1,0,464800
Belo Horizonte,120,3,3,2,496800
Rio de Janeiro,95,3,1,0,741400
Rio de Janeiro,25,1,1,2,450800
São Paulo,202,4,3,4,3671700
Rio de Janeiro,30,1,1,0,276000
Porto Alegre,30,1,1,0,222200
Belo Horizonte,1000,3,4,2,1089400
Porto Alegre,80,3,1,1,450000
Belo Horizonte,120,4,3,2,658800
São Paulo,249,3,3,3,1994000
São Paulo,90,3,3,2,822400
Rio de Janeiro,91,2,2,1,959600
São Paulo,36,1,1,0,299200
São Paulo,51,2,1,1,695600
São Paulo,287,4,4,4,4386400
Rio de Janeiro,65,2,2,1,1662800
São Paulo,84,2,2,2,2237900
São Paulo,43,1,1,1,853400
São Paulo,58,2,1,1,398000
São Paulo,208,4,4,3,2526400
São Paulo,462,7,2,3,1912800
São Paulo,167,3,2,1,2384100
São Paulo,62,2,1,1,387200
Porto Alegre,75,2,2,0,615400
Campinas,244,5,7,4,2040200
São Paulo,309,4,7,8,1874200
Porto Alegre,40,1,1,0,292800
Porto Alegre,90,2,1,0,238000
Porto Alegre,47,1,1,0,263400
Porto Alegre,143,3,2,3,1747200
São Paulo,230,3,4,3,1626200
São Paulo,580,6,6,6,1829800
São Paulo,238,4,4,3,3660200
São Paulo,113,3,4,3,935400
São Paulo,115,2,2,2,1100600
São Paulo,80,1,2,1,1032000
Rio de Janeiro,300,4,4,3,1532200
Campinas,70,1,1,2,295400
São Paulo,52,2,1,0,275600
São Paulo,55,2,1,1,461000
Rio de Janeiro,58,2,1,1,311600
Campinas,50,2,1,1,299000
Campinas,40,1,1,0,188800
São Paulo,164,3,2,1,1034800
Porto Alegre,76,2,2,0,475400
São Paulo,80,2,1,1,999000
Belo Horizonte,300,5,4,3,3132300
Porto Alegre,75,2,2,2,459200
São Paulo,280,3,4,2,3357800
Porto Alegre,50,1,1,1,327600
São Paulo,74,1,2,2,1342800
São Paulo,73,2,1,1,529400
Campinas,280,4,3,4,1159000
Rio de Janeiro,403,3,4,2,3732100
Campinas,424,4,5,4,744600
São Paulo,190,4,5,3,1533600
São Paulo,454,4,3,4,2936100
São Paulo,138,3,2,1,1987000
São Paulo,600,5,5,6,3458100
Campinas,58,2,1,1,798800
São Paulo,38,1,1,0,564400
São Paulo,113,2,2,1,817800
São Paulo,70,2,1,0,350200
Rio de Janeiro,90,2,1,0,810800
São Paulo,183,4,4,3,1619600
Rio de Janeiro,20,1,1,0,408600
Belo Horizonte,66,2,1,1,182000
Rio de Janeiro,92,2,2,0,907000
Porto Alegre,70,2,1,0,425400
São Paulo,93,3,2,1,1033600
São Paulo,220,4,5,4,1382800
São Paulo,20,1,1,0,189600
São Paulo,92,3,2,2,516400
Belo Horizonte,50,2,1,0,293200
São Paulo,300,3,5,2,3397600
Porto Alegre,90,3,1,1,449200
Campinas,36,1,1,0,163400
Rio de Janeiro,70,2,2,0,685800
São Paulo,200,3,3,2,769000
Rio de Janeiro,160,3,2,1,1871600
São Paulo,135,3,2,3,1082400
São Paulo,70,1,1,0,250600
Belo Horizonte,95,2,1,1,490200
São Paulo,60,2,2,2,541400
São Paulo,36,1,1,0,184200
São Paulo,136,3,3,3,1729400
São Paulo,250,3,2,2,760600
São Paulo,330,3,5,3,4218100
Belo Horizonte,65,3,2,1,259000
Campinas,380,3,4,4,2459500
São Paulo,350,5,5,4,702600
Campinas,70,2,1,0,243600
Rio de Janeiro,65,2,2,0,446000
São Paulo,45,1,1,1,1718000
Rio de Janeiro,95,2,2,0,837600
São Paulo,120,2,1,1,358400
São Paulo,248,3,4,3,2242400
São Paulo,100,2,1,2,733400
São Paulo,394,4,6,4,2510100
Campinas,209,3,3,2,683800
Rio de Janeiro,16,1,1,0,208600
São Paulo,49,2,1,1,477000
Rio de Janeiro,70,2,2,1,983200
Rio de Janeiro,150,3,2,3,500000
Porto Alegre,58,2,1,1,325400
São Paulo,200,3,4,1,1730400
Belo Horizonte,400,3,3,0,740000
São Paulo,196,3,4,2,1220200
Porto Alegre,40,1,1,0,406000
Belo Horizonte,158,3,3,2,981200
São Paulo,130,2,1,1,812200
Campinas,48,1,2,0,350000
São Paulo,72,2,1,1,389600
São Paulo,65,2,1,0,432000
Porto Alegre,60,2,1,1,459600
São Paulo,48,1,1,1,423800
Rio de Janeiro,47,1,1,0,349400
Porto Alegre,84,2,1,0,297400
São Paulo,186,4,2,2,806400
Belo Horizonte,85,3,2,2,426800
São Paulo,160,4,5,3,1261200
Rio de Janeiro,74,2,1,1,215400
São Paulo,18,1,1,0,348400
Porto Alegre,130,2,1,2,429000
Belo Horizonte,95,3,2,1,562600
São Paulo,105,3,2,3,745400
Belo Horizonte,85,2,2,1,467800
Belo Horizonte,50,1,1,2,276800
Rio de Janeiro,103,3,2,1,1316800
São Paulo,54,2,1,1,356000
Campinas,75,2,1,2,335600
São Paulo,25,1,1,0,250200
Belo Horizonte,63,3,2,2,317600
Belo Horizonte,150,5,5,5,3013500
São Paulo,47,2,1,1,437400
Rio de Janeiro,140,3,2,3,1072200
Rio de Janeiro,40,1,1,0,301000
Belo Horizonte,115,3,2,1,534800
São Paulo,160,4,3,2,2547700
Rio de Janeiro,80,1,1,0,306000
Rio de Janeiro,75,2,1,1,323000
Porto Alegre,80,2,1,0,205800
São Paulo,80,2,2,1,611400
São Paulo,199,3,4,5,1670200
São Paulo,400,4,4,3,1935600
São Paulo,70,1,1,0,253200
São Paulo,300,4,5,4,1122800
Belo Horizonte,70,2,1,1,317600
São Paulo,250,3,2,1,3361800
Rio de Janeiro,27,1,1,0,427800
São Paulo,54,2,1,1,565400
São Paulo,225,4,5,4,2461700
São Paulo,125,3,2,1,1182800
São Paulo,55,2,1,0,421200
São Paulo,186,3,3,2,1451800
Rio de Janeiro,154,3,3,1,1376400
São Paulo,200,3,4,2,2073500
São Paulo,246,3,4,3,1710400
Porto Alegre,78,2,1,0,342600
São Paulo,70,2,1,1,438400
São Paulo,188,3,1,3,2023500
Belo Horizonte,165,3,2,4,656200
Campinas,63,2,1,0,278600
Belo Horizonte,200,4,2,2,1363200
São Paulo,298,4,5,4,2185700
São Paulo,154,3,1,3,1603000
Campinas,110,3,2,2,625400
Campinas,130,2,2,5,429800
São Paulo,32,1,1,1,1075800
Rio de Janeiro,170,4,3,2,1092400
São Paulo,69,2,1,0,544200
Rio de Janeiro,118,2,2,1,1174400
Rio de Janeiro,90,3,1,0,663200
Campinas,65,1,1,1,335800
São Paulo,260,4,3,4,1606200
São Paulo,182,3,5,3,1887600
São Paulo,41,1,1,1,909000
São Paulo,45,1,1,0,284400
São Paulo,40,1,1,0,161800
São Paulo,100,1,3,2,691400
São Paulo,66,2,1,0,405400
Belo Horizonte,71,3,2,2,358400
Campinas,94,2,1,1,365800
Rio de Janeiro,80,2,2,1,455000
São Paulo,41,1,1,1,722600
São Paulo,140,3,2,1,776600
Porto Alegre,47,1,1,1,526600
Rio de Janeiro,70,3,1,1,353200
Campinas,58,1,1,1,296000
São Paulo,200,3,4,4,1666200
Rio de Janeiro,40,1,1,0,199400
São Paulo,240,3,4,4,886200
São Paulo,96,3,2,1,888400
São Paulo,220,4,5,2,1554800
São Paulo,132,3,2,2,1220200
Belo Horizonte,106,3,2,2,752600
São Paulo,150,3,3,2,942000
São Paulo,68,3,1,1,423600
Porto Alegre,180,4,5,3,2712400
Porto Alegre,44,1,1,1,299800
Rio de Janeiro,75,2,1,0,616000
São Paulo,58,2,2,1,1043000
São Paulo,72,2,1,0,601000
São Paulo,190,4,4,2,773600
Rio de Janeiro,150,3,2,1,591400
Campinas,550,3,7,8,1649200
São Paulo,220,2,2,3,2281800
São Paulo,200,3,2,3,1260000
Belo Horizonte,300,5,3,4,1595800
São Paulo,70,2,2,0,532200
Campinas,43,2,1,1,258800
Porto Alegre,45,1,1,1,199600
Porto Alegre,55,2,1,0,210400
São Paulo,700,5,8,3,2636100
Belo Horizonte,300,3,5,0,1180200
Porto Alegre,220,4,5,2,1470000
São Paulo,300,4,5,6,3406100
Porto Alegre,52,1,1,0,170000
Rio de Janeiro,106,2,2,1,1185000
Porto Alegre,84,2,2,2,818600
São Paulo,50,2,1,0,243800
São Paulo,240,3,3,2,870600
São Paulo,240,3,3,4,1824200
Porto Alegre,260,2,2,1,402800
São Paulo,73,2,2,1,423200
São Paulo,334,4,6,5,2014400
São Paulo,67,2,1,1,339200
São Paulo,71,2,1,0,517400
São Paulo,280,3,4,3,2629700
Belo Horizonte,450,5,5,3,1429800
Porto Alegre,82,3,2,1,659200
São Paulo,380,4,5,4,2953900
Porto Alegre,105,3,2,2,631800
São Paulo,55,1,1,1,475400
São Paulo,45,1,1,0,444000
São Paulo,70,2,2,1,815400
São Paulo,160,3,3,0,1115200
São Paulo,48,2,1,1,442400
São Paulo,200,3,4,2,2399700
São Paulo,46,2,1,0,243200
Rio de Janeiro,30,1,1,0,137800
Rio de Janeiro,140,3,2,1,1124400
São Paulo,101,3,3,2,1153800
São Paulo,340,2,4,3,4201800
São Paulo,400,4,5,4,2257900
Campinas,55,2,1,1,251200
Rio de Janeiro,45,2,1,1,409400
São Paulo,62,2,2,0,253800
Rio de Janeiro,75,2,1,0,835600
São Paulo,86,3,1,1,730000
Porto Alegre,182,3,3,2,673800
Porto Alegre,30,1,1,1,158200
Rio de Janeiro,153,4,3,1,574600
São Paulo,70,2,1,1,238800
Rio de Janeiro,82,2,1,1,539400
São Paulo,160,3,4,4,1528000
São Paulo,270,5,4,4,2454300
São Paulo,370,7,6,8,2405600
São Paulo,470,4,6,2,2261900
São Paulo,200,1,1,3,377800
São Paulo,62,2,2,0,431000
São Paulo,64,2,2,1,645400
São Paulo,58,2,1,1,256800
Porto Alegre,75,2,2,0,371200
São Paulo,200,2,2,2,2920000
São Paulo,36,1,1,1,412200
Porto Alegre,120,2,2,1,541800
Porto Alegre,62,2,2,2,434600
São Paulo,490,3,3,3,1143400
Belo Horizonte,67,2,2,2,815600
São Paulo,161,3,3,3,1007000
São Paulo,176,4,2,3,1260200
São Paulo,178,4,4,4,1489200
Porto Alegre,88,3,2,0,446800
Porto Alegre,470,3,3,4,822400
São Paulo,257,4,3,2,1661200
São Paulo,70,4,3,0,764600
Belo Horizonte,50,2,1,1,183400
Belo Horizonte,89,3,2,1,357200
São Paulo,73,2,1,1,403600
São Paulo,95,3,2,2,1176600
Rio de Janeiro,54,2,1,1,436200
Belo Horizonte,150,4,1,3,1310000
Rio de Janeiro,139,2,3,1,1430000
Porto Alegre,45,1,1,0,396000
São Paulo,255,4,4,4,765400
São Paulo,100,1,1,0,490000
São Paulo,120,3,3,1,784400
Campinas,200,4,5,2,1841000
São Paulo,72,2,1,1,440400
Porto Alegre,50,1,1,0,226600
São Paulo,158,3,4,3,2968100
São Paulo,22,1,1,0,510200
São Paulo,105,3,2,1,944400
São Paulo,50,2,1,1,388600
Belo Horizonte,65,2,2,0,289000
São Paulo,108,3,2,2,640200
Campinas,50,1,1,0,311800
São Paulo,198,3,3,6,902800
Campinas,74,3,2,1,528600
Rio de Janeiro,71,2,2,1,1651000
Porto Alegre,52,2,1,1,311800
Belo Horizonte,355,3,4,8,1977200
Porto Alegre,162,3,1,0,365200
São Paulo,90,1,1,0,465200
Porto Alegre,62,2,1,1,387400
São Paulo,130,3,2,2,609200
São Paulo,78,1,1,0,599800
São Paulo,276,4,5,4,1031400
São Paulo,50,2,1,1,397600
Porto Alegre,35,1,1,0,384400
Belo Horizonte,161,3,1,2,798600
São Paulo,30,1,1,0,254400
São Paulo,251,4,4,3,1640800
São Paulo,77,2,1,1,806600
São Paulo,112,3,3,2,1000000
Campinas,273,4,2,2,993600
Rio de Janeiro,55,1,1,1,304800
Campinas,80,3,2,2,522000
São Paulo,400,4,5,3,3395600
Rio de Janeiro,110,3,2,1,746600
São Paulo,262,4,5,4,1225800
Rio de Janeiro,38,1,1,0,480800
São Paulo,140,2,2,1,2987800
São Paulo,110,6,5,7,2191800
Porto Alegre,46,1,1,1,290200
Porto Alegre,55,2,1,0,390800
Rio de Janeiro,70,2,1,1,460600
São Paulo,60,2,2,1,496800
São Paulo,87,3,2,2,1010200
Porto Alegre,400,3,4,4,3262400
Porto Alegre,64,2,2,0,394400
Rio de Janeiro,85,2,2,1,2676400
Porto Alegre,140,3,4,2,1164600
São Paulo,288,4,5,4,1975800
São Paulo,64,3,1,1,359200
São Paulo,62,2,2,1,1205000
Rio de Janeiro,15,1,1,0,142000
São Paulo,200,4,3,2,1702200
Belo Horizonte,450,4,3,4,3127700
São Paulo,72,3,2,1,769800
Rio de Janeiro,75,2,1,1,557000
São Paulo,20,1,1,0,117800
São Paulo,77,2,2,1,803800
São Paulo,57,1,1,0,1278800
São Paulo,103,3,3,0,1585400
São Paulo,180,3,2,1,2897700
Porto Alegre,80,2,1,1,170000
São Paulo,25,1,1,1,810200
Campinas,248,3,4,4,2283700
Belo Horizonte,360,6,2,0,1776800
São Paulo,62,1,1,0,600000
São Paulo,85,2,1,0,416400
Porto Alegre,187,3,3,2,590600
São Paulo,58,2,3,2,416200
Belo Horizonte,93,2,1,0,433400
São Paulo,28,1,1,0,503400
Campinas,120,3,2,5,360200
Rio de Janeiro,70,1,2,0,243800
São Paulo,162,2,3,3,3670000
São Paulo,210,3,2,3,954200
Belo Horizonte,300,3,2,2,553000
São Paulo,40,1,1,1,521200
São Paulo,270,3,4,4,1797800
São Paulo,65,2,1,1,1017000
Porto Alegre,83,2,2,1,387600
São Paulo,340,4,5,5,2862300
Belo Horizonte,28,1,1,1,337400
São Paulo,70,1,1,0,200800
Belo Horizonte,300,3,2,2,850000
São Paulo,423,4,5,7,4522000
São Paulo,16,1,1,0,179200
Porto Alegre,38,1,1,0,334400
Belo Horizonte,210,4,4,4,1984000
São Paulo,380,4,5,5,2213900
Rio de Janeiro,289,3,2,1,1746400
São Paulo,28,1,1,0,263400
Campinas,83,2,3,1,532400
São Paulo,120,4,3,3,1155200
Porto Alegre,60,2,2,1,358000
São Paulo,100,2,1,0,248400
São Paulo,108,4,3,2,1665200
São Paulo,345,2,3,2,3318100
São Paulo,210,3,4,4,2450200
Rio de Janeiro,80,2,1,0,1200600
São Paulo,270,4,4,4,1367400
Porto Alegre,60,2,1,0,223400
Rio de Janeiro,64,2,1,1,784000
Rio de Janeiro,90,2,2,0,1185400
São Paulo,157,3,3,1,1246000
Campinas,100,3,2,1,416600
Campinas,86,3,2,2,574200
São Paulo,56,2,1,1,444400
Rio de Janeiro,40,1,1,0,762000
São Paulo,188,3,4,1,2557900
Campinas,44,2,1,1,433400
Rio de Janeiro,300,3,2,0,1343600
Rio de Janeiro,101,3,3,2,1521000
Belo Horizonte,130,3,1,1,464000
São Paulo,120,4,3,3,1609800
São Paulo,200,3,4,2,808800
São Paulo,140,3,4,2,2129700
Rio de Janeiro,100,3,1,0,1005400
São Paulo,260,5,3,0,1236600
São Paulo,77,2,2,2,757800
Campinas,45,1,1,0,162800
Porto Alegre,50,2,1,1,208600
Campinas,44,2,1,2,257200
Porto Alegre,84,1,2,0,506600
Belo Horizonte,53,3,1,0,262400
São Paulo,200,3,4,2,718200
Campinas,75,3,2,1,238400
Porto Alegre,120,2,2,1,599400
Belo Horizonte,70,2,1,0,209400
Campinas,100,3,2,0,343000
Porto Alegre,73,2,2,1,606000
Rio de Janeiro,70,2,1,1,761200
São Paulo,110,2,4,2,1811200
São Paulo,200,3,2,2,933000
São Paulo,75,2,2,2,428200
São Paulo,96,2,1,1,705000
Rio de Janeiro,270,3,2,1,1410400
São Paulo,100,1,1,0,579800
Belo Horizonte,195,4,2,2,738400
Rio de Janeiro,102,3,2,0,884000
São Paulo,310,4,4,8,1220800
São Paulo,63,2,2,1,533400
São Paulo,131,3,2,2,994600
São Paulo,37,1,1,1,695800
São Paulo,145,3,2,2,634800
São Paulo,135,3,3,1,1241000
Porto Alegre,67,3,2,1,376400
São Paulo,25,1,1,0,218800
Belo Horizonte,300,4,4,4,1329000
São Paulo,190,3,2,2,1593000
São Paulo,105,3,2,2,1797600
São Paulo,48,1,1,2,1223800
Porto Alegre,170,2,3,1,274800
São Paulo,75,3,2,1,623000
São Paulo,520,3,4,8,2231900
Rio de Janeiro,37,1,1,0,542200
São Paulo,305,3,6,3,2988100
Rio de Janeiro,80,2,2,1,1018400
