idade,classe_trabalho,escolaridade,anos_estudo,Estado_civil,raça,sexo,UF,regiao
41,MEI,Ensino Médio Completo,13,Casado,Branco,Masculino,PI,Nordeste
18,,Ensino Médio Completo,10,Solteiro,Branco,Masculino,CE,Nordeste
23,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,RN,Nordeste
60,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PB,Nordeste
22,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Negro,Masculino,PE,Nordeste
61,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AL,Nordeste
25,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Masculino,SE,Nordeste
46,Funcionário Setor Privado,Mestrado,14,Solteiro,Branco,Masculino,BA,Nordeste
43,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,MG,Sudeste
43,Funcionário Setor Privado,Ensino Médio Completo,12,Divorciado,Branco,Masculino,ES,Sudeste
24,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Masculino,RJ,Sudeste
68,Aposentado,Ensino Médio Incompleto,7,Solteiro,Branco,Masculino,SP,Sudeste
31,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,PR,Sul
17,Menor Aprendiz,Ensino Médio Incompleto,7,Solteiro,Branco,Feminino,SC,Sul
32,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RS,Sul
50,,Mestrado,14,União Estável,Branco,Masculino,MS,Centro-Oeste
33,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,MT,Centro-Oeste
64,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,GO,Centro-Oeste
20,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,DF,Centro-Oeste
30,Funcionário Setor Privado,Ensino Médio Incompleto,9,Separado,Branco,Feminino,RO,Norte
22,,Ensino Médio Completo,10,Solteiro,Negro,Masculino,AC,Norte
43,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,AM,Norte
22,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,R,Norte
17,Menor Aprendiz,Ensino Fundamental Completo,6,Solteiro,Branco,Masculino,PA,Norte
47,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Feminino,AP,Norte
41,Funcionário Setor Privado,Ensino Médio Completo,11,Solteiro,Branco,Feminino,TO,Norte
56,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,MA,Nordeste
64,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PI,Nordeste
47,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,CE,Nordeste
48,Funcionário Setor Privado,Ensino Médio Completo,11,Solteiro,Branco,Masculino,RN,Nordeste
31,Funcionário Setor Privado,Mestrado,14,Solteiro,Branco,Feminino,PB,Nordeste
29,Funcionário Setor Privado,Ensino Médio Completo,11,Solteiro,Branco,Masculino,PE,Nordeste
30,Funcionário Setor Privado,Ensino Médio Incompleto,9,Viúvo,Branco,Feminino,AL,Nordeste
32,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,SE,Nordeste
57,Funcionário Setor Privado,Ensino Médio Incompleto,9,Viúvo,Branco,Masculino,BA,Nordeste
62,Funcionário Setor Privado,Ensino Médio Incompleto,9,Viúvo,Branco,Feminino,MG,Sudeste
39,Funcionário Setor Privado,Ensino Médio Incompleto,9,Separado,Branco,Feminino,ES,Sudeste
43,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,RJ,Sudeste
24,MEI,Ensino Médio Completo,13,Solteiro,Branco,Masculino,SP,Sudeste
42,,Ensino Médio Incompleto,7,Casado,Branco,Masculino,PR,Sul
53,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Feminino,SC,Sul
26,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,RS,Sul
73,Aposentado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MS,Centro-Oeste
72,Aposentado,Ensino Médio Incompleto,7,Viúvo,Branco,Feminino,MT,Centro-Oeste
55,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,GO,Centro-Oeste
25,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,DF,Centro-Oeste
41,Funcionário Setor Privado,Ensino Médio Completo,13,Divorciado,Branco,Feminino,RO,Norte
24,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Masculino,AC,Norte
63,Funcionário Setor Privado,Ensino Médio Incompleto,9,Viúvo,Branco,Masculino,AM,Norte
17,Menor Aprendiz,Ensino Médio Incompleto,7,Solteiro,Branco,Masculino,R,Norte
35,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,PA,Norte
51,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,AP,Norte
62,Empresário,Ensino Médio Completo,13,Viúvo,Branco,Feminino,TO,Norte
55,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MA,Nordeste
43,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,PI,Nordeste
40,Empresário,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,CE,Nordeste
37,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,RN,Nordeste
39,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,PB,Nordeste
31,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,PE,Nordeste
61,Funcionário Setor Privado,Mestrado,14,Viúvo,Branco,Feminino,AL,Nordeste
26,Funcionário Setor Privado,Ensino Médio Completo,11,Divorciado,Branco,Feminino,SE,Nordeste
46,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,BA,Nordeste
26,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,MG,Sudeste
48,Servidor Público,Doutorado,16,Divorciado,Branco,Masculino,ES,Sudeste
34,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,RJ,Sudeste
34,Empresário,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,SP,Sudeste
59,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PR,Sul
34,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,SC,Sul
49,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,RS,Sul
18,Funcionário Setor Privado,Ensino Médio Incompleto,7,Solteiro,Branco,Feminino,MS,Centro-Oeste
43,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MT,Centro-Oeste
48,Funcionário Setor Privado,Ensino Médio Incompleto,7,Casado,Branco,Masculino,GO,Centro-Oeste
28,MEI,Ensino Médio Completo,10,Casado,Branco,Masculino,DF,Centro-Oeste
33,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RO,Norte
24,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,AC,Norte
21,Funcionário Setor Privado,Ensino Fundamental Completo,6,Solteiro,Branco,Masculino,AM,Norte
17,Menor Aprendiz,Ensino Médio Incompleto,7,Solteiro,Branco,Masculino,R,Norte
39,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,PA,Norte
29,Autônomo,Ensino Médio Completo,13,Separado,Branco,Masculino,AP,Norte
44,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,TO,Norte
24,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,MA,Nordeste
71,Aposentado,Mestrado,14,Casado,Branco,Masculino,PI,Nordeste
51,Autônomo,Ensino Médio Completo,13,Casado,Pardo,Masculino,CE,Nordeste
55,Funcionário Setor Privado,Ensino Fundamental Incompleto,3,Divorciado,Negro,Masculino,RN,Nordeste
41,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,PB,Nordeste
23,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Feminino,PE,Nordeste
38,Funcionário Setor Privado,Ensino Médio Completo,11,Divorciado,Branco,Feminino,AL,Nordeste
39,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,SE,Nordeste
19,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,BA,Nordeste
49,Funcionário Setor Privado,Ensino Fundamental Completo,5,Divorciado,Branco,Feminino,MG,Sudeste
32,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,ES,Sudeste
27,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RJ,Sudeste
38,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,SP,Sudeste
33,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Feminino,PR,Sul
63,,Ensino Médio Completo,10,Casado,Branco,Masculino,SC,Sul
23,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Masculino,RS,Sul
33,MEI,Ensino Médio Completo,10,Casado,Branco,Masculino,MS,Centro-Oeste
54,Autônomo,Ensino Médio Incompleto,9,Casado,Negro,Masculino,MT,Centro-Oeste
29,Funcionário Setor Privado,Ensino Médio Completo,11,Divorciado,Branco,Feminino,GO,Centro-Oeste
48,,Ensino Médio Completo,10,Divorciado,Negro,Feminino,DF,Centro-Oeste
35,Autônomo,Ensino Médio Completo,13,Solteiro,Branco,Masculino,RO,Norte
28,Funcionário Setor Privado,Ensino Médio Completo,11,Casado,Pardo,Feminino,AC,Norte
37,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,AM,Norte
42,Autônomo,Mestrado,15,Casado,Branco,Masculino,R,Norte
40,Funcionário Setor Privado,Mestrado,14,Casado,Branco,Masculino,PA,Norte
47,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,AP,Norte
22,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,TO,Norte
30,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,MA,Nordeste
28,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PI,Nordeste
63,Empresário,Ensino Fundamental Incompleto,4,Casado,Branco,Masculino,CE,Nordeste
51,Autônomo,Ensino Fundamental Completo,5,Casado,Branco,Masculino,RN,Nordeste
22,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,PB,Nordeste
27,,Ensino Médio Completo,12,Casado,Indígena,Masculino,PE,Nordeste
35,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,AL,Nordeste
46,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,SE,Nordeste
37,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,BA,Nordeste
24,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Negro,Masculino,MG,Sudeste
37,Autônomo,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,ES,Sudeste
53,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,RJ,Sudeste
27,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,SP,Sudeste
38,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,PR,Sul
53,Autônomo,Ensino Fundamental Completo,6,Casado,Branco,Masculino,SC,Sul
34,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,RS,Sul
23,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Masculino,MS,Centro-Oeste
39,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,MT,Centro-Oeste
43,Funcionário Setor Privado,Mestrado,14,Casado,Pardo,Feminino,GO,Centro-Oeste
67,Aposentado,Ensino Médio Incompleto,9,Casado,Pardo,Masculino,DF,Centro-Oeste
81,Aposentado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RO,Norte
21,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,AC,Norte
23,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,AM,Norte
25,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,R,Norte
42,Funcionário Setor Privado,Ensino Fundamental Incompleto,3,Casado,Branco,Feminino,PA,Norte
38,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Negro,Feminino,AP,Norte
64,,Ensino Médio Incompleto,9,Casado,Branco,Masculino,TO,Norte
32,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MA,Nordeste
37,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PI,Nordeste
51,Funcionário Setor Privado,Mestrado,14,Casado,Branco,Masculino,CE,Nordeste
22,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,RN,Nordeste
33,Funcionário Setor Privado,Ensino Fundamental Incompleto,2,União Estável,Branco,Feminino,PB,Nordeste
42,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,PE,Nordeste
19,,Ensino Médio Completo,10,Solteiro,Branco,Feminino,AL,Nordeste
51,Empresário,Analfabeto,1,Casado,Branco,Masculino,SE,Nordeste
23,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Feminino,BA,Nordeste
37,Funcionário Setor Privado,Ensino Médio Incompleto,7,Casado,Branco,Masculino,MG,Sudeste
37,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,ES,Sudeste
47,Funcionário Setor Privado,Mestrado,14,Solteiro,Branco,Feminino,RJ,Sudeste
41,Funcionário Setor Privado,Mestrado,15,Casado,Branco,Masculino,SP,Sudeste
33,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PR,Sul
31,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Masculino,SC,Sul
31,Funcionário Setor Privado,Ensino Médio Completo,12,Divorciado,Indígena,Feminino,RS,Sul
35,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Negro,Masculino,MS,Centro-Oeste
38,MEI,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MT,Centro-Oeste
18,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,GO,Centro-Oeste
20,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,DF,Centro-Oeste
54,Empresário,Ensino Médio Completo,10,Divorciado,Negro,Feminino,RO,Norte
40,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Feminino,AC,Norte
36,MEI,Ensino Médio Completo,13,Casado,Branco,Feminino,AM,Norte
43,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,R,Norte
44,Autônomo,Ensino Médio Completo,10,Divorciado,Branco,Masculino,PA,Norte
44,Servidor Público,Ensino Médio Incompleto,9,Casado,Branco,Feminino,AP,Norte
43,Funcionário Setor Privado,Mestrado,14,Casado,Branco,Masculino,TO,Norte
51,Funcionário Setor Privado,Ensino Fundamental Incompleto,4,Viúvo,Negro,Feminino,MA,Nordeste
18,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,PI,Nordeste
51,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,CE,Nordeste
41,Funcionário Setor Privado,Ensino Fundamental Completo,6,Casado,Branco,Masculino,RN,Nordeste
44,MEI,Ensino Médio Completo,10,Casado,Branco,Masculino,PB,Nordeste
33,Empresário,Ensino Fundamental Completo,6,Divorciado,Branco,Masculino,PE,Nordeste
33,Autônomo,Ensino Médio Completo,13,Casado,Branco,Masculino,AL,Nordeste
42,Funcionário Setor Privado,Ensino Médio Completo,12,Casado,Branco,Masculino,SE,Nordeste
25,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,BA,Nordeste
32,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,MG,Sudeste
32,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,ES,Sudeste
36,Funcionário Setor Privado,Ensino Fundamental Completo,6,Divorciado,Branco,Feminino,RJ,Sudeste
28,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,SP,Sudeste
20,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,PR,Sul
35,MEI,Ensino Médio Completo,10,Casado,Branco,Masculino,SC,Sul
55,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RS,Sul
48,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Pardo,Masculino,MS,Centro-Oeste
36,,Ensino Médio Completo,11,Viúvo,Branco,Feminino,MT,Centro-Oeste
34,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,GO,Centro-Oeste
28,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,DF,Centro-Oeste
67,Aposentado,Ensino Médio Completo,13,Viúvo,Branco,Masculino,RO,Norte
37,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AC,Norte
44,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,AM,Norte
25,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,R,Norte
21,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,PA,Norte
40,Servidor Público,Mestrado,14,Casado,Branco,Masculino,AP,Norte
78,Aposentado,Ensino Médio Incompleto,9,Viúvo,Negro,Feminino,TO,Norte
34,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,MA,Nordeste
49,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,PI,Nordeste
22,Funcionário Setor Privado,Ensino Médio Completo,12,Solteiro,Branco,Feminino,CE,Nordeste
23,,Ensino Médio Incompleto,9,Solteiro,Negro,Feminino,RN,Nordeste
60,Autônomo,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,PB,Nordeste
45,Empresário,Ensino Médio Incompleto,9,Viúvo,Branco,Masculino,PE,Nordeste
63,Funcionário Setor Privado,Ensino Médio Completo,11,Divorciado,Branco,Feminino,AL,Nordeste
41,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Feminino,SE,Nordeste
47,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,BA,Nordeste
44,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,MG,Sudeste
51,Funcionário Setor Privado,Ensino Médio Completo,10,Viúvo,Branco,Feminino,ES,Sudeste
46,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Masculino,RJ,Sudeste
41,Funcionário Setor Privado,Ensino Médio Completo,11,Casado,Branco,Masculino,SP,Sudeste
50,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PR,Sul
47,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,SC,Sul
35,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,RS,Sul
56,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MS,Centro-Oeste
45,Funcionário Setor Privado,Mestrado,14,Divorciado,Branco,Masculino,MT,Centro-Oeste
48,Funcionário Público,Ensino Médio Completo,13,Divorciado,Branco,Masculino,GO,Centro-Oeste
40,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,DF,Centro-Oeste
39,MEI,Ensino Médio Completo,13,Casado,Branco,Masculino,RO,Norte
20,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,AC,Norte
50,Funcionário Setor Privado,Doutorado,16,Casado,Branco,Masculino,AM,Norte
38,Servidor Público,Ensino Médio Incompleto,9,Casado,Branco,Feminino,R,Norte
23,Empresário,Ensino Médio Completo,13,Solteiro,Branco,Feminino,PA,Norte
31,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,AP,Norte
58,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,TO,Norte
66,Aposentado,Ensino Médio Incompleto,9,Separado,Negro,Masculino,MA,Nordeste
39,MEI,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PI,Nordeste
54,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,CE,Nordeste
26,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,RN,Nordeste
51,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,PB,Nordeste
34,Funcionário Setor Privado,Ensino Médio Completo,11,Solteiro,Branco,Masculino,PE,Nordeste
50,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AL,Nordeste
42,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,SE,Nordeste
38,Funcionário Setor Privado,Mestrado,14,Casado,Branco,Masculino,BA,Nordeste
48,Funcionário Setor Privado,Ensino Fundamental Incompleto,4,Casado,Branco,Masculino,MG,Sudeste
33,Funcionário Setor Privado,Ensino Médio Completo,11,Casado,Branco,Feminino,ES,Sudeste
51,Funcionário Setor Privado,Ensino Médio Incompleto,9,Viúvo,Branco,Feminino,RJ,Sudeste
22,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,SP,Sudeste
19,,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,PR,Sul
41,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,SC,Sul
48,Empresário,Mestrado,14,Casado,Branco,Masculino,RS,Sul
42,Funcionário Setor Privado,Ensino Médio Incompleto,9,Separado,Branco,Feminino,MS,Centro-Oeste
34,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,MT,Centro-Oeste
23,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Feminino,GO,Centro-Oeste
56,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,DF,Centro-Oeste
30,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Negro,Masculino,RO,Norte
45,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AC,Norte
48,Funcionário Setor Privado,Ensino Fundamental Completo,6,Casado,Branco,Feminino,AM,Norte
48,MEI,Mestrado,14,União Estável,Pardo,Masculino,R,Norte
31,Funcionário Setor Privado,Ensino Médio Completo,11,Solteiro,Branco,Feminino,PA,Norte
20,Servidor Público,Ensino Médio Completo,12,Solteiro,Branco,Masculino,AP,Norte
27,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,TO,Norte
32,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Feminino,MA,Nordeste
76,Aposentado,Ensino Fundamental Incompleto,4,Viúvo,Branco,Masculino,PI,Nordeste
19,,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,CE,Nordeste
66,Aposentado,Ensino Fundamental Completo,5,Casado,Branco,Masculino,RN,Nordeste
37,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,PB,Nordeste
34,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Negro,Feminino,PE,Nordeste
34,,Ensino Médio Incompleto,7,Casado,Branco,Feminino,AL,Nordeste
90,Aposentado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,SE,Nordeste
23,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Negro,Feminino,BA,Nordeste
43,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Feminino,MG,Sudeste
44,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,ES,Sudeste
24,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,RJ,Sudeste
28,Funcionário Setor Privado,Mestrado,15,Divorciado,Branco,Masculino,SP,Sudeste
64,,Ensino Médio Completo,12,Solteiro,Branco,Feminino,PR,Sul
23,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,SC,Sul
20,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,RS,Sul
36,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,MS,Centro-Oeste
61,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MT,Centro-Oeste
53,Autônomo,Ensino Médio Completo,13,Casado,Branco,Masculino,GO,Centro-Oeste
30,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,DF,Centro-Oeste
52,Autônomo,Ensino Médio Completo,10,Casado,Branco,Masculino,RO,Norte
38,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,AC,Norte
32,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,AM,Norte
30,Autônomo,Ensino Médio Incompleto,8,Casado,Branco,Masculino,R,Norte
41,Funcionário Setor Privado,Ensino Médio Completo,11,Divorciado,Branco,Feminino,PA,Norte
49,Empresário,Mestrado,14,Casado,Branco,Masculino,AP,Norte
45,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,TO,Norte
43,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MA,Nordeste
61,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PI,Nordeste
54,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,CE,Nordeste
34,Funcionário Setor Privado,Ensino Médio Completo,12,Separado,Branco,Feminino,RN,Nordeste
49,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,PB,Nordeste
38,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,PE,Nordeste
35,Funcionário Setor Privado,Mestrado,15,Casado,Branco,Masculino,AL,Nordeste
36,Funcionário Setor Privado,Ensino Médio Incompleto,8,Casado,Branco,Masculino,SE,Nordeste
30,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,BA,Nordeste
36,Funcionário Setor Privado,Ensino Médio Completo,12,Divorciado,Branco,Feminino,MG,Sudeste
22,Empresário,Ensino Médio Completo,13,Solteiro,Branco,Feminino,ES,Sudeste
38,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RJ,Sudeste
37,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,SP,Sudeste
48,Servidor Público,Doutorado,16,Casado,Branco,Feminino,PR,Sul
17,Menor Aprendiz,Ensino Médio Incompleto,7,Solteiro,Branco,Masculino,SC,Sul
19,Autônomo,Ensino Médio Completo,10,Solteiro,Branco,Masculino,RS,Sul
27,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Negro,Feminino,MS,Centro-Oeste
22,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Pardo,Masculino,MT,Centro-Oeste
49,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,GO,Centro-Oeste
